,Source,Month,Brand,Model,ENERGY LABEL EU,NOFROST SYSTEM,NET LTRS.,Quantity,PriceUSD,Elasticity,cluster_kmean_nd_9,cluster_kmean_t_sne,cluster_ier_centr_cos_7,cluster_ier_t_sne
463,Traditional Sales,2018-01-01,ATLANT,XM 4426-109 ND,2,1,332,3.3636363636363638,471.28376373554545,-0.021709067044069164,3,8,3,8
464,Traditional Sales,2018-01-01,GORENJE,NRK6192MRD/MCH/MR/MC/JCH/JR/JC,4,1,307,4.691666666666666,684.5831669479165,-0.007128338051321262,2,1,4,6
466,Traditional Sales,2018-01-01,SNAIGE,RF 35 SM-S1JJ21,3,0,310,5.642999999999999,357.55584614840006,0.027731995964721187,4,3,7,10
467,Traditional Sales,2018-01-01,SIEMENS,KG49NAI31,4,1,435,3.383333333333333,1063.6060985683332,-0.021265476005794252,2,6,4,4
468,Traditional Sales,2018-01-01,ELECTROLUX,EN3889MFX,4,1,341,3.2659900360833327,789.1145873846667,-0.025436323409639007,2,1,4,6
469,Traditional Sales,2018-01-01,SIEMENS,KG56NVI30U,4,1,505,3.4000000000000004,920.625440201,-0.013678450677613375,8,6,4,4
471,Traditional Sales,2018-01-01,SAMSUNG,RB37J5000SA/EF,3,1,367,6.159999999999999,546.0406408931001,-0.024692673206609825,3,5,3,7
472,Traditional Sales,2018-01-01,LIEBHERR,CU 2811,4,0,263,7.25,341.3403146163333,-0.0391501622973616,4,8,5,8
473,Traditional Sales,2018-01-01,HANSA,BK 316.3 AA,4,0,260,7.416666666666667,361.3940551005,-0.053519978266547315,4,8,5,8
475,Traditional Sales,2018-01-01,ATLANT,XM 4421 N 100,3,1,285,3.727272727272727,392.70781500881816,0.0053186604436750405,3,8,3,8
477,Traditional Sales,2018-01-01,ZANUSSI,ZRB36101WA,3,0,337,3.1303030302727275,322.6706500908182,0.04508355614722186,4,3,7,9
478,Traditional Sales,2018-01-01,ATLANT,XM 4009-100,3,0,281,6.883333333333333,291.19870835925,-0.08828291550400244,4,4,7,1
479,Traditional Sales,2018-01-01,ATLANT,MX 2822-66,3,0,205,8.568817204333333,248.90700246033336,0.030080973482393664,9,4,7,1
480,Traditional Sales,2018-01-01,ZANUSSI,ZRT27100WA,3,0,265,6.55,272.08053739258327,0.022240224490609844,4,4,7,1
483,Traditional Sales,2018-01-01,WHIRLPOOL,ART 963/A+/NF,3,1,300,14.4375,860.7466135150834,-0.10946748297383739,3,6,3,4
484,Traditional Sales,2018-01-01,LIEBHERR,CT 3306,3,0,307,9.145833333333334,378.1877796220834,0.012578409050033185,4,8,7,10
485,Traditional Sales,2018-01-01,SIEMENS,KI38VX20,3,0,276,4.49090909090909,728.0708635161819,-0.001799859564643437,4,1,7,6
486,Traditional Sales,2018-01-01,LIEBHERR,SBS 7212 COMFORT,3,1,651,6.916666666666667,1610.5999633254999,0.021531937978909985,8,6,2,4
492,Traditional Sales,2018-01-01,HITACHI,R-BG410PUC6GBK,3,1,330,9.253130314083334,598.7204187626667,-0.051046008042626115,3,5,3,7
494,Traditional Sales,2018-01-01,LIEBHERR,ICUNS 3324,4,1,256,7.489046071916667,915.7941914755002,-0.010647482051587609,2,6,4,4
495,Traditional Sales,2018-01-01,HISENSE,RC-67WS4SHA,3,1,516,6.870451548416667,612.5805292379167,0.007894830174963998,8,5,2,7
497,Traditional Sales,2018-01-01,LIEBHERR,CNBE 4015,4,1,356,4.454545454545454,765.5217188833635,-0.010572704621767258,2,1,4,6
499,Traditional Sales,2018-01-01,SATURN,ST-CF1961U,3,0,184,2.111111111111111,151.928528486,-0.050143239048335495,9,2,7,3
500,Traditional Sales,2018-01-01,ATLANT,MXM-5810,2,0,285,3.4444444444444446,245.24527379600002,-0.0793466233043459,1,4,7,1
501,Traditional Sales,2018-01-01,LIEBHERR,TB 1400,3,0,136,3.7083333333333335,253.9227884356667,-0.05454587106860709,9,2,7,3
504,Traditional Sales,2018-01-01,INTERLINE,IBC 250,3,0,250,11.604166666666666,387.23652595625003,-0.15014421132316821,4,8,7,8
506,Traditional Sales,2018-01-01,BOSCH,KGN49XL30U,4,1,435,6.469999999999999,846.5561088887001,0.000230946465924811,2,6,4,4
507,Traditional Sales,2018-01-01,AEG,S83920CMXF,4,1,341,5.259071797083333,792.4914389803333,0.002632156466033307,2,1,4,6
508,Traditional Sales,2018-01-01,GORENJE,NRK6201MC-0,3,1,339,3.7443396226666668,642.5939943922222,-0.008914468413101043,3,1,3,6
509,Traditional Sales,2018-01-01,ZANUSSI,ZRG 11600 WA,3,0,102,12.024999999999999,175.34764032441663,0.47807495508131226,9,2,7,2
510,Traditional Sales,2018-01-01,HANSA,BK316.3,3,0,260,4.327272727272727,364.86017412609095,0.036068929095522256,4,8,7,8
512,Traditional Sales,2018-01-01,ATLANT,XM-4521-100-ND,3,1,373,2.5045454545454544,474.16364024945466,0.013864503771092957,3,8,3,8
514,Traditional Sales,2018-01-01,BEKO,GN 163120,3,1,558,1.6666666666666667,866.3921118282223,0.006560949516732087,8,6,2,4
517,Traditional Sales,2018-01-01,ZANUSSI,ZRT 23100 XA,3,0,223,4.172727272727273,274.11999468245455,0.019322193033271477,9,4,7,1
519,Traditional Sales,2018-01-01,INDESIT,BIAA 181,3,0,318,2.4930555555555554,275.10508119955557,-0.010170569159720446,4,4,7,1
520,Traditional Sales,2018-01-01,DNEPR,DX 229-7-010,2,0,219,9.2333333333,191.8240926734,-0.3038257873224209,1,2,7,3
521,Traditional Sales,2018-01-01,NORD,NRT 275-030,2,0,278,9.969696969727273,218.03133053127274,-0.7239630749789217,1,4,7,1
524,Traditional Sales,2018-01-01,SIEMENS,KI86NAD30,4,1,255,4.004307116083333,1424.8527400611667,-0.007560220658899066,2,6,4,4
527,Traditional Sales,2018-01-01,GORENJE,NRK 6201 MX,3,1,353,4.358333333333333,529.4567931824167,0.00904352731491036,3,5,3,7
528,Traditional Sales,2018-01-01,BEKO,TSE 1262,3,0,114,15.133333333333335,234.43485730883333,0.1742881341504907,9,2,7,3
529,Traditional Sales,2018-01-01,SMART,BM338WAW,3,1,338,5.777777777777778,362.500390437,0.15297750460292855,3,3,3,10
532,Traditional Sales,2018-01-01,LIBERTY,HRF-295 W,3,0,273,8.166666666666666,266.6393621458333,0.32885332135222867,4,4,7,1
536,Traditional Sales,2018-01-01,LG,GA-B499TGRF,4,1,360,4.819166666666667,1012.2186575288333,-0.0219624304501925,2,6,4,4
537,Traditional Sales,2018-01-01,LIBERTY,DSBS-540 X,3,1,482,2.0,726.3501247609,-0.019359163616967132,8,6,2,4
538,Traditional Sales,2018-01-01,LIBERTY,HR-120 W,3,0,93,9.4625,133.04254600866668,0.2659195131542034,9,2,7,2
539,Traditional Sales,2018-01-01,LIBERTY,SSBS-612 GS,3,1,612,1.5555555555555556,737.7794094036667,-0.01183515373424145,8,6,2,4
541,Traditional Sales,2018-01-01,HOTPOINT-ARIS,XH9 T1I W (UA),3,1,369,3.9416666666666664,448.9357992307501,0.005111832644251707,3,8,3,8
544,Traditional Sales,2018-01-01,SHARP,SJ-EX820FSL,4,1,605,3.3636363636363638,1760.7669223573635,-0.007407508911671742,8,6,4,4
547,Traditional Sales,2018-01-01,BOSCH,KGN39AW35,4,1,366,4.013636363636364,867.8671510318181,0.0011818129251993294,2,1,4,4
548,Traditional Sales,2018-01-01,BEKO,RSNE445E22,3,0,375,11.336111111083333,463.20853569249994,-0.04816054991230253,4,8,7,8
549,Traditional Sales,2018-01-01,SNAIGE,RF 36 SM-S1JJ21,3,0,321,4.421212121181818,358.2215335747273,0.028490134273394252,4,3,7,10
552,Traditional Sales,2018-01-01,VESTFROST,VD 142 RW,3,0,97,44.74166666666667,147.36905889358334,2.5789795873103216,6,2,7,2
553,Traditional Sales,2018-01-01,WHIRLPOOL,ART6711/A++ SF,4,0,275,11.615058480416666,581.3359530845833,-0.0591925052806648,4,5,5,7
555,Traditional Sales,2018-01-01,GORENJE,NRK6191CHW,3,1,307,8.328454383583335,415.9748375869167,-0.010179657292046458,3,8,3,8
556,Traditional Sales,2018-01-01,ELECTROLUX,EN3889MFW,4,1,352,3.8355866002727272,733.4047199573638,-0.008848753152294032,2,1,4,6
558,Traditional Sales,2018-01-01,ERGO,SBS 520 W,3,1,517,5.333723988666666,592.00778881425,0.015511378310870983,8,5,2,7
559,Traditional Sales,2018-01-01,BOSCH,KGN 86AI30U,4,1,619,7.610486891416667,1361.8999631349166,-0.031116706926986044,8,6,4,4
560,Traditional Sales,2018-01-01,BOSCH,KGN56VI30U,4,1,505,8.060486891416668,879.95482794425,-0.01628206451591855,8,6,4,4
561,Traditional Sales,2018-01-01,BOSCH,KGN56LB30N,4,1,505,3.883333333333333,1213.6674342965,-0.0046263996491672016,8,6,4,4
562,Traditional Sales,2018-01-01,SIEMENS,KG39FSW45,5,1,343,3.5383018867999994,1241.8764486463,-0.0012666267860367213,2,6,4,4
563,Traditional Sales,2018-01-01,NORD,B 152 (W),3,0,180,9.233333333333334,223.8148869728889,-0.09052495951614217,9,2,7,3
566,Traditional Sales,2018-01-01,HITACHI,R-VG540PUC3GBK,4,1,450,2.909090909090909,957.1854496089092,0.010737496775138505,2,6,4,4
567,Traditional Sales,2018-01-01,INDESIT,NBS 16.1 AA (UA),3,0,278,2.888888888888889,254.98017027311113,0.13627609370766983,4,4,7,1
568,Traditional Sales,2018-01-01,BOSCH,KGV39VI31,4,0,343,3.6363636363636362,451.976485123909,0.03368620923242364,4,8,5,8
569,Traditional Sales,2018-01-01,SAMSUNG,RB31HSR2DSA,3,1,306,6.958333333333333,439.30624336274997,0.011708729787311328,3,8,3,8
570,Traditional Sales,2018-01-01,SNAIGE,C 29SM-T10021(1),3,0,267,7.009090909090909,271.91791577781817,0.15375299791051195,4,4,7,1
572,Traditional Sales,2018-01-01,VESTFROST,FW 540 M,3,1,515,3.0,1254.086673638091,0.002946446338056304,8,6,2,4
573,Traditional Sales,2018-01-01,ATLANT,XM 4012-180,3,0,297,7.954545454545454,334.51381746909095,0.16822251445536568,4,3,7,10
575,Traditional Sales,2018-01-01,ZANUSSI,ZRB36104WA,4,0,329,4.720531154272727,313.80098422900005,0.01810273262441795,4,3,5,9
583,Traditional Sales,2018-01-01,WHIRLPOOL,WBE 3414 W,3,0,338,2.5555555555555554,312.5671767145555,-0.011804642488953736,4,3,7,9
586,Traditional Sales,2018-01-01,BEKO,LBI 3001,3,0,308,2.716666666666667,439.8097379455833,-0.00931957343872077,4,8,7,8
588,Traditional Sales,2018-01-01,ATLANT,XM 4214-000,2,0,290,1.6083333333333334,318.00714435616663,-0.03557384419111412,1,3,7,10
593,Traditional Sales,2018-01-01,HITACHI,R-BG410PUC6GPW,3,1,330,3.848181818181818,600.6021194271817,-0.04680469464984431,3,5,3,7
595,Traditional Sales,2018-01-01,BEKO,RCNA355K20PT,3,1,321,4.818181818181818,447.38612564345453,0.07105065338846073,3,8,3,8
599,Traditional Sales,2018-01-01,NORD,B 219 NF W,3,1,230,4.055555555555555,273.8626878405555,-0.08996337011430726,3,4,3,1
600,Traditional Sales,2018-01-01,BEKO,RCSA360K21PT,3,0,334,10.021666666666667,365.7106088945,-0.18199011110084204,4,3,7,10
602,Traditional Sales,2018-01-01,LIEBHERR,IK 3520,4,0,325,5.680843373499999,1066.5061459431,-0.008154779041855529,2,6,5,4
603,Traditional Sales,2018-01-01,BEKO,RCSA330K21PT,3,0,295,6.788712121250001,353.37790444,0.10258069905919431,4,3,7,10
605,Traditional Sales,2018-01-01,ATLANT,XM 4724-101,3,0,334,13.933484848500001,327.2854417086667,0.21930932562637945,4,3,7,9
607,Traditional Sales,2018-01-01,LIEBHERR,CUBE 4015,4,0,358,2.272727272727273,713.6612396373636,-0.0016712618078339628,2,1,5,6
610,Traditional Sales,2018-01-01,HITACHI,R-WB800PUC5XGR,4,1,634,4.5,1738.935759817083,0.022406410367200504,8,6,4,4
612,Traditional Sales,2018-01-01,LIEBHERR,CBN 4815,5,1,343,3.5,1160.4734487769,0.0021881527306595286,2,6,4,4
613,Traditional Sales,2018-01-01,LIEBHERR,CBNEF 4815,5,1,343,1.8888888888888888,1411.8721279524445,-0.0026984912264932295,2,6,4,4
614,Traditional Sales,2018-01-01,SHARP,SJXE680MBE,4,1,536,2.888888888888889,928.9261702845555,0.000821961991622381,8,6,4,4
615,Traditional Sales,2018-01-01,SNAIGE,RF34SM-S1JJ21,3,0,302,4.991666666666666,338.1402108800833,0.03351261618706515,4,3,7,10
617,Traditional Sales,2018-01-01,AEG,S53920CTXF,4,1,352,3.94382022475,612.4840705833333,-0.045265782701370647,2,1,4,7
619,Traditional Sales,2018-01-01,SAMSUNG,RB33J3200WW,3,1,328,6.562948551333332,526.9506356505,0.02246643031882207,3,5,3,7
620,Traditional Sales,2018-01-01,HANSA,BK316.3FA,3,1,246,3.358333333333333,418.02298794916663,-0.01236838812799696,3,8,3,8
625,Traditional Sales,2018-01-01,GORENJE,RC4151W,3,0,209,3.5783018868,285.96807432189996,-0.043844314694930886,9,4,7,1
626,Traditional Sales,2018-01-01,SIEMENS,KG39NAI36,4,1,366,4.174287716916666,918.6208629699167,0.010750380519171954,2,6,4,4
627,Traditional Sales,2018-01-01,WHIRLPOOL,ART 9811/A++ SF,4,0,308,20.372872622583333,631.3953626695001,-0.23861903260689116,4,1,5,6
628,Traditional Sales,2018-01-01,ZANUSSI,ZRB36104XA,4,0,337,4.036963818833333,357.854744113,-0.01006975590570341,4,3,5,10
630,Traditional Sales,2018-01-01,ATLANT,XM 6021-180,3,0,345,5.522222222222222,386.01828840733333,-0.05501581034442324,4,3,7,10
632,Traditional Sales,2018-01-01,BOSCH,KSV36VL30,4,0,346,2.1676037483333332,867.4236281062222,0.0021137914430731184,2,1,5,4
634,Traditional Sales,2018-01-01,ELECTROLUX,ERN1200FOW,3,0,106,5.847871335818181,340.6383577907273,-0.05894588993656443,9,4,7,3
635,Traditional Sales,2018-01-01,AEG,SCR41811LS,3,0,268,4.324313897583333,629.4963021491667,-0.045489443097880465,4,1,7,6
636,Traditional Sales,2018-01-01,SNAIGE,RF30SM-S10021,3,0,261,5.029999999999999,287.8963763349,0.08688293370063839,4,4,7,1
637,Traditional Sales,2018-01-01,SAMSUNG,RB37J5315EF,4,1,367,3.0454545454545454,580.6161364036363,0.004731722697213699,2,1,4,7
643,Traditional Sales,2018-01-01,CANDY,CCDS 5142WH,3,0,204,1.5555555555555556,226.41496924422222,0.010974428935891956,9,4,7,3
646,Traditional Sales,2018-01-01,NORD,DX 237 012,3,0,264,5.1944444445,228.60781298291667,-0.1080651953768503,4,4,7,1
648,Traditional Sales,2018-01-01,ATLANT,XM 4423-180 N,3,1,337,3.0300000000000002,450.2280078084001,0.005285876466224428,3,8,3,8
650,Traditional Sales,2018-01-01,ATLANT,MXM-2835-95 A+,3,0,280,5.5,258.152946434,-0.17086611306650074,4,4,7,1
656,Traditional Sales,2018-01-01,LG,GA-B489TGDF,4,1,335,1.2222222222222223,858.4354861012222,-0.0008305085671194945,2,1,4,4
659,Traditional Sales,2018-01-01,HAIER,HRF-628DF6,3,1,579,2.7,804.6734503219999,-0.00046207620202236245,8,6,2,4
662,Traditional Sales,2018-01-01,SNAIGE,RF36SM-S1DA21,3,0,321,18.217302489166666,340.08797369266665,-0.003422621490423494,4,3,7,10
664,Traditional Sales,2018-01-01,SNAIGE,RF34SM S1RA21,3,0,302,1.7545454545454546,347.7368787924546,-0.02105566202717225,4,3,7,10
666,Traditional Sales,2018-01-01,WHIRLPOOL,ART 459/A+/NF/1,3,1,264,8.916666666666666,711.2391711762499,-0.06135857789933541,3,1,3,6
672,Traditional Sales,2018-01-01,ATLANT,XM 4214-014,3,0,290,10.660606060545454,306.9671098327272,0.1008023137733468,4,3,7,9
673,Traditional Sales,2018-01-01,ATLANT,(MINSK)XM-4010-000/001,1,0,259,3.5972222222222223,293.3348288174444,-0.030218285795026417,1,4,7,1
674,Traditional Sales,2018-01-01,SNAIGE,R130-1101AA,3,0,114,7.5666666666666655,189.29713318841667,-0.08135298874662421,9,2,7,2
677,Traditional Sales,2018-01-01,BOSCH,KGN39ML3B,4,1,366,4.0,531.3150930346364,0.0316689688435908,2,5,4,7
679,Traditional Sales,2018-01-01,ELENBERG,MRF-429WO,3,1,428,4.786458333333333,491.1986797409167,0.03137074419528523,3,8,2,8
683,Traditional Sales,2018-01-01,BEKO,RCNA295K21W,3,1,266,5.220909090916666,374.39207474841663,0.1585634425711645,3,8,3,8
685,Traditional Sales,2018-01-01,NORD,M 65,3,0,45,6.7,100.88374961269999,0.743000553274491,9,2,7,2
686,Traditional Sales,2018-01-01,BOSCH,KGN49LB30,4,1,435,2.75,1083.1519333559165,0.00034908766545192326,2,6,4,4
687,Traditional Sales,2018-01-01,INDESIT,BIAA 20 (UA),3,0,341,4.277777777777778,303.99904366366667,0.10672590559247522,4,3,7,9
688,Traditional Sales,2018-01-01,LIEBHERR,CNEF 5715,5,1,402,1.8888888888888888,1459.1559245532221,0.0011599407482010284,2,6,4,4
689,Traditional Sales,2018-01-01,BEKO,RCSA330K21S,3,0,295,2.772727272727273,328.8730654381818,-0.05679667331575035,4,3,7,10
