,UAH/USD
2018-08-03,27.011867000000002
2018-08-04,27.011867000000002
2018-08-05,27.011867000000002
2018-08-06,27.092701
2018-08-07,27.131725000000003
2018-08-08,27.021054
2018-08-09,26.961726
2018-08-10,27.111393
2018-08-11,27.111393
2018-08-12,27.111393
2018-08-13,27.245639999999998
2018-08-14,27.344448000000003
2018-08-15,27.458921999999998
2018-08-16,27.449859999999997
2018-08-17,27.670533
2018-08-18,27.670533
2018-08-19,27.670533
2018-08-20,27.898554
2018-08-21,27.69668
2018-08-22,27.709475
2018-08-23,27.885488
2018-08-24,27.885488
2018-08-25,27.885488
2018-08-26,27.885488
2018-08-27,27.853197
2018-08-28,27.88524
2018-08-29,28.051217
2018-08-30,28.116426
2018-08-31,28.279436999999998
2018-09-01,28.279436999999998
2018-09-02,28.279436999999998
2018-09-03,28.246116999999998
2018-09-04,28.378299000000002
2018-09-05,28.492993000000002
2018-09-06,28.411552
2018-09-07,28.224632
2018-09-08,28.224632
2018-09-09,28.224632
2018-09-10,28.264977
2018-09-11,28.200688
2018-09-12,28.095614
2018-09-13,28.026096
2018-09-14,28.126838
2018-09-15,28.126838
2018-09-16,28.126838
2018-09-17,28.152071999999997
2018-09-18,28.126754000000002
2018-09-19,28.151007
2018-09-20,28.120205000000002
2018-09-21,28.06185
2018-09-22,28.06185
2018-09-23,28.06185
2018-09-24,28.06288
2018-09-25,28.111097
2018-09-26,28.061208999999998
2018-09-27,28.142843
2018-09-28,28.298262
2018-09-29,28.298262
2018-09-30,28.298262
2018-10-01,28.269931
2018-10-02,28.212677
2018-10-03,28.276259
2018-10-04,28.320055000000004
2018-10-05,28.175055
2018-10-06,28.175055
2018-10-07,28.175055
2018-10-08,28.084816
2018-10-09,28.08792
2018-10-10,28.081439999999997
2018-10-11,28.002896999999997
2018-10-12,27.984519
2018-10-13,27.984519
2018-10-14,27.984519
2018-10-15,27.984519
2018-10-16,27.928166
2018-10-17,27.93002
2018-10-18,27.916894000000003
2018-10-19,28.036647
2018-10-20,28.036647
2018-10-21,28.036647
2018-10-22,28.182001
2018-10-23,28.080405
2018-10-24,28.149402
2018-10-25,28.213096999999998
2018-10-26,28.335582
2018-10-27,28.335582
2018-10-28,28.335582
2018-10-29,28.265984
2018-10-30,28.202526
2018-10-31,28.164437
2018-11-01,28.118832
2018-11-02,28.157863000000003
2018-11-03,28.157863000000003
2018-11-04,28.157863000000003
2018-11-05,28.132823
2018-11-06,28.015313000000003
2018-11-07,27.95584
2018-11-08,27.896957999999998
2018-11-09,27.926734
2018-11-10,27.926734
2018-11-11,27.926734
2018-11-12,27.891641
2018-11-13,27.903737
2018-11-14,27.918162000000002
2018-11-15,27.839406
2018-11-16,27.774256
2018-11-17,27.774256
2018-11-18,27.774256
2018-11-19,27.75497
2018-11-20,27.764829
2018-11-21,27.763875
2018-11-22,27.774897999999997
2018-11-23,27.745837
2018-11-24,27.745837
2018-11-25,27.745837
2018-11-26,27.795828
2018-11-27,27.898447
2018-11-28,28.105334
2018-11-29,28.269049
2018-11-30,28.390932
2018-12-01,28.390932
2018-12-02,28.390932
2018-12-03,28.222764
2018-12-04,28.172738
2018-12-05,28.125926
2018-12-06,27.975656
2018-12-07,27.879569
2018-12-08,27.879569
2018-12-09,27.879569
2018-12-10,27.824246
2018-12-11,27.776824
2018-12-12,27.713165
2018-12-13,27.808135000000004
2018-12-14,27.867006
